Wavelength (nm),Group1_White_Paper,Group1_Epidote1,Group1_Epidote2,Group1_Epidote3,Group2_Gypsum1,Group2_Gypsum2,Group2_Gypsum3,Group3_Limonite1,Group3_Limonite2,Group3_LImonite3,Group4_Realgar1,Group4_Realgar2,Group4_Realgar3,Group5_Hornblende1,Group5_Hornblende2,Group5_Hornblende3,Group6_Pyrite1,Group6_Pyrite2,Group6_Pyrite3
350,0.408,0.134,0.053,0.13,0.129,0.169,0.148,0.07,0.09,0.048,0.073,0.07,0.071,0.039,0.063,0.028,0.065,0.091,0.056
351,0.403,0.123,0.048,0.119,0.131,0.151,0.14,0.05,0.077,0.042,0.071,0.074,0.061,0.029,0.057,0.033,0.056,0.089,0.052
352,0.393,0.127,0.042,0.106,0.137,0.147,0.131,0.045,0.073,0.043,0.072,0.076,0.06,0.039,0.05,0.034,0.054,0.084,0.052
353,0.377,0.133,0.043,0.105,0.142,0.16,0.129,0.057,0.078,0.05,0.074,0.077,0.066,0.057,0.048,0.032,0.061,0.078,0.058
354,0.37,0.116,0.058,0.122,0.147,0.157,0.137,0.057,0.084,0.059,0.081,0.085,0.075,0.046,0.056,0.046,0.058,0.081,0.063
355,0.358,0.11,0.06,0.125,0.15,0.157,0.14,0.054,0.086,0.054,0.083,0.079,0.072,0.041,0.052,0.04,0.053,0.079,0.062
356,0.348,0.11,0.054,0.118,0.148,0.158,0.145,0.053,0.08,0.045,0.079,0.074,0.065,0.04,0.048,0.032,0.052,0.075,0.06
357,0.343,0.108,0.048,0.111,0.143,0.155,0.152,0.054,0.072,0.043,0.074,0.078,0.062,0.04,0.052,0.031,0.054,0.071,0.059
358,0.33,0.105,0.051,0.116,0.146,0.159,0.145,0.057,0.074,0.045,0.081,0.076,0.064,0.043,0.048,0.036,0.051,0.073,0.061
359,0.319,0.105,0.045,0.118,0.147,0.155,0.139,0.053,0.074,0.043,0.082,0.074,0.065,0.045,0.045,0.033,0.051,0.074,0.063
360,0.311,0.107,0.037,0.113,0.144,0.15,0.137,0.049,0.073,0.04,0.079,0.074,0.065,0.046,0.046,0.03,0.051,0.073,0.062
361,0.304,0.106,0.04,0.106,0.142,0.153,0.138,0.049,0.074,0.04,0.075,0.076,0.065,0.045,0.051,0.034,0.047,0.073,0.058
362,0.297,0.1,0.044,0.109,0.144,0.154,0.141,0.052,0.075,0.042,0.072,0.076,0.065,0.046,0.048,0.033,0.05,0.071,0.059
